"Wavelength, µm",n,k
2.7322,4.793,24.699
2.7397,4.819,24.763
2.7473,4.844,24.826
2.7548,4.869,24.886
2.7624,4.887,24.933
2.7701,4.914,25.019
2.7778,4.94,25.083
2.7855,4.965,25.144
2.7933,4.984,25.212
2.8011,5.011,25.28
2.809,5.038,25.343
2.8169,5.057,25.413
2.8249,5.086,25.483
2.8329,5.114,25.55
2.8409,5.141,25.614
2.849,5.161,25.686
2.8571,5.191,25.757
2.8653,5.22,25.826
2.8736,5.248,25.892
2.8818,5.269,25.965
2.8902,5.3,26.039
2.8986,5.33,26.11
2.907,5.36,26.181
2.9155,5.39,26.251
2.924,5.42,26.32
2.9326,5.442,26.395
2.9412,5.475,26.471
2.9499,5.539,26.619
2.9499,5.507,26.546
2.9674,5.571,26.693
2.9762,5.603,26.767
2.9851,5.636,26.842
2.994,5.669,26.916
3.003,5.702,26.991
3.012,5.735,27.066
3.0211,5.768,27.142
3.0303,5.802,27.218
3.0395,5.836,27.294
3.0488,5.871,27.371
3.0581,5.905,27.448
3.0675,5.94,27.525
3.0769,5.976,27.603
3.0864,6.011,27.682
3.096,6.048,27.762
3.1056,6.085,27.844
3.1153,6.132,27.919
3.125,6.166,27.994
3.1348,6.202,28.071
3.1447,6.238,28.15
3.1546,6.276,28.23
3.1646,6.313,28.31
3.1746,6.351,28.39
3.1847,6.389,28.471
3.1949,6.427,28.552
3.2051,6.466,28.634
3.2154,6.505,28.716
3.2258,6.545,28.799
3.2362,6.585,28.882
3.2468,6.625,28.966
3.2573,6.665,29.05
3.268,6.706,29.134
3.2787,6.747,29.219
3.2895,6.789,29.304
3.3003,6.831,29.39
3.3113,6.873,29.476
3.3223,6.916,29.562
3.3333,6.959,29.649
3.3445,7.003,29.737
3.3557,7.046,29.824
3.367,7.091,29.913
3.3784,7.135,30.001
3.3898,7.18,30.091
3.4014,7.225,30.18
3.413,7.271,30.27
3.4247,7.317,30.36
3.4364,7.364,30.451
3.4483,7.41,30.542
3.4602,7.457,30.633
3.4722,7.504,30.723
3.4843,7.55,30.812
3.4965,7.587,30.912
3.5088,7.639,31.011
3.5211,7.69,31.108
3.5336,7.741,31.204
3.5461,7.792,31.301
3.5587,7.844,31.398
3.5714,7.896,31.495
3.5842,7.948,31.593
3.5971,8.001,31.691
3.6101,8.054,31.79
3.6232,8.108,31.889
3.6364,8.162,31.989
3.6496,8.217,32.089
3.663,8.272,32.19
3.6765,8.328,32.291
3.69,8.384,32.393
3.7037,8.441,32.495
3.7175,8.498,32.597
3.7453,8.614,32.804
3.7594,8.673,32.908
3.7594,8.556,32.7
3.7736,8.732,33.013
3.7879,8.792,33.118
3.8023,8.852,33.223
3.8168,8.913,33.33
3.8314,8.975,33.436
3.8462,9.037,33.543
3.861,9.099,33.65
3.876,9.162,33.758
3.8911,9.226,33.866
3.9063,9.29,33.975
3.9216,9.354,34.083
3.937,9.418,34.191
3.9526,9.48,34.296
3.9683,9.533,34.415
3.9841,9.603,34.533
4,9.672,34.647
4.0161,9.741,34.761
4.0323,9.81,34.874
4.0486,9.879,34.987
4.065,9.946,35.096
4.0816,10.002,35.22
4.0984,10.077,35.341
4.1152,10.149,35.457
4.1322,10.219,35.569
4.1494,10.277,35.695
4.1667,10.332,35.814
