nm	AOI	Psi	Delta
400.5	65	23.601	148.4
432.1	65	20.243	148.39
463.6	65	18.049	148.11
495.2	65	16.365	148.58
526.7	65	15.092	148.81
558.3	65	14.069	149.03
589.8	65	13.234	149.29
621.4	65	12.537	149.71
652.9	65	11.935	150.13
684.5	65	11.431	150.54
716	65	11.01	150.99
747.6	65	10.647	151.49
779.1	65	10.359	152.03
810.7	65	10.017	152.44
842.2	65	9.7327	152.94
873.8	65	9.4494	153.42
905.3	65	9.1714	153.87
936.9	65	8.896	154.29
968.4	65	8.624	154.67
1000	65	8.3528	155.03
