#Lambda	Bandwidth	AOI	Delta	Psi	Zone	Amin	Pmin	Afix	Pfix	ROIidx	X_pos	Y_pos
#nm	nm	deg	deg	deg	-	deg	deg	deg	deg	-	mm	mm
494.0	5.6	65.000	128.518	24.523	3	21.215	19.403	23.626	19.403	000	-8.000	-16.836
551.0	5.0	65.000	132.106	22.521	3	20.420	21.019	21.214	21.019	000	-8.000	-16.836
608.0	5.5	65.000	135.341	21.236	3	20.342	22.644	20.420	22.644	000	-8.000	-16.836
665.0	5.0	65.000	137.757	20.034	3	20.214	23.875	20.342	23.875	000	-8.000	-16.836
722.0	5.0	65.000	140.114	19.186	3	20.274	25.003	20.214	25.003	000	-8.000	-16.836
779.0	5.5	65.000	142.286	18.608	3	20.443	25.986	20.274	25.987	000	-8.000	-16.836
836.0	5.0	65.000	144.306	18.177	3	20.638	26.839	20.443	26.839	000	-8.000	-16.836
893.0	5.1	65.000	146.150	17.731	3	20.707	27.517	20.638	27.517	000	-8.000	-16.836
950.0	5.5	65.000	147.725	17.335	3	20.739	28.061	20.707	28.061	000	-8.000	-16.836
380.0	6.0	70.000	101.824	32.679	4	34.778	84.018	30.000	84.018	000	-8.000	-16.836
437.0	6.0	70.000	105.929	25.490	4	30.381	82.182	30.000	82.182	000	-8.000	-16.836
494.0	5.6	70.000	108.514	21.730	4	25.920	81.240	30.000	81.240	000	-8.000	-16.836
551.0	5.0	70.000	111.036	19.220	4	21.786	80.123	30.000	80.123	000	-8.000	-16.836
608.0	5.5	70.000	113.831	17.422	4	18.454	78.545	30.000	78.545	000	-8.000	-16.836
665.0	5.0	70.000	115.317	15.937	4	15.740	77.204	30.000	77.204	000	-8.000	-16.836
722.0	5.0	70.000	117.001	14.798	4	13.679	75.318	30.000	75.318	000	-8.000	-16.836
779.0	5.5	70.000	119.179	14.000	4	12.218	72.689	30.000	72.689	000	-8.000	-16.836
836.0	5.0	70.000	121.033	13.239	4	10.989	69.623	30.000	69.623	000	-8.000	-16.836
893.0	5.1	70.000	122.986	12.604	4	10.028	65.854	30.000	65.854	000	-8.000	-16.836
950.0	5.5	70.000	125.802	11.981	4	9.220	60.781	30.000	60.780	000	-8.000	-16.836
380.0	6.0	70.000	101.664	32.070	2	-30.058	-5.825	-30.646	-5.825	000	-8.000	-16.836
437.0	6.0	70.000	105.434	25.268	2	-21.014	-8.248	-30.058	-8.248	000	-8.000	-16.836
494.0	5.6	70.000	108.393	21.747	2	-18.134	-9.311	-21.014	-9.311	000	-8.000	-16.836
551.0	5.0	70.000	110.754	19.204	2	-16.911	-10.386	-18.134	-10.386	000	-8.000	-16.836
608.0	5.5	70.000	113.044	17.311	2	-16.334	-11.527	-16.911	-11.526	000	-8.000	-16.836
665.0	5.0	70.000	115.466	15.942	2	-16.140	-12.730	-16.335	-12.730	000	-8.000	-16.836
722.0	5.0	70.000	117.675	14.816	2	-16.027	-13.777	-16.140	-13.777	000	-8.000	-16.836
779.0	5.5	70.000	119.675	13.854	2	-15.907	-14.650	-16.027	-14.650	000	-8.000	-16.836
836.0	5.0	70.000	121.630	13.043	2	-15.802	-15.445	-15.907	-15.445	000	-8.000	-16.836
893.0	5.1	70.000	123.422	12.361	2	-15.715	-16.114	-15.802	-16.113	000	-8.000	-16.836
950.0	5.5	70.000	125.250	11.820	2	-15.676	-16.778	-15.715	-16.778	000	-8.000	-16.836
380.0	6.0	70.000	101.875	32.645	1	-34.745	-84.082	-34.780	-84.082	000	-8.000	-16.836
437.0	6.0	70.000	105.629	25.468	1	-30.377	-82.621	-34.745	-82.621	000	-8.000	-16.836
494.0	5.6	70.000	108.365	21.720	1	-25.913	-81.338	-30.377	-81.338	000	-8.000	-16.836
551.0	5.0	70.000	110.729	19.190	1	-21.752	-80.020	-25.913	-80.020	000	-8.000	-16.836
608.0	5.5	70.000	112.868	17.281	1	-18.310	-78.728	-21.752	-78.728	000	-8.000	-16.836
665.0	5.0	70.000	115.499	15.906	1	-15.710	-77.222	-18.310	-77.222	000	-8.000	-16.836
722.0	5.0	70.000	117.836	14.797	1	-13.676	-75.951	-15.711	-75.952	000	-8.000	-16.836
779.0	5.5	70.000	119.961	13.848	1	-12.058	-74.880	-13.676	-74.880	000	-8.000	-16.836
836.0	5.0	70.000	122.085	13.031	1	-10.756	-73.892	-12.058	-73.892	000	-8.000	-16.836
893.0	5.1	70.000	123.929	12.373	1	-9.736	-73.135	-10.756	-73.135	000	-8.000	-16.836
950.0	5.5	70.000	125.825	11.865	1	-8.954	-72.430	-9.736	-72.430	000	-8.000	-16.836
380.0	6.0	70.000	102.125	32.323	3	30.306	6.050	30.646	6.050	000	-8.000	-16.836
437.0	6.0	70.000	106.385	25.397	3	21.147	8.762	30.306	8.762	000	-8.000	-16.836
494.0	5.6	70.000	108.494	21.861	3	18.235	9.364	21.147	9.364	000	-8.000	-16.836
551.0	5.0	70.000	111.018	19.349	3	17.045	10.515	18.235	10.515	000	-8.000	-16.836
608.0	5.5	70.000	113.393	17.565	3	16.579	11.695	17.045	11.696	000	-8.000	-16.836
665.0	5.0	70.000	115.269	16.062	3	16.262	12.630	16.579	12.630	000	-8.000	-16.836
722.0	5.0	70.000	117.213	14.895	3	16.118	13.545	16.262	13.545	000	-8.000	-16.836
779.0	5.5	70.000	119.181	13.990	3	16.071	14.417	16.118	14.417	000	-8.000	-16.836
836.0	5.0	70.000	121.134	13.252	3	16.066	15.223	16.071	15.223	000	-8.000	-16.836
893.0	5.1	70.000	122.999	12.578	3	16.004	15.914	16.065	15.914	000	-8.000	-16.836
950.0	5.5	70.000	124.599	12.001	3	15.945	16.453	16.004	16.453	000	-8.000	-16.836
