W475-P(M-s-O)-8020-.75BB-water-rpt-3-20C-spectro_WVASEformat
nm		Psi	Delta
400.0	65.0	25.049	156.285
446.4	65.0	21.125	154.019
492.7	65.0	18.550	152.349
539.1	65.0	16.655	150.862
585.5	65.0	15.425	149.833
631.8	65.0	14.235	149.288
678.2	65.0	13.229	148.540
724.5	65.0	12.540	148.298
770.9	65.0	11.925	148.251
817.3	65.0	11.511	148.284
863.6	65.0	11.019	148.540
910.0	65.0	10.539	148.731
